"site","plot","treatment","species_code","individual","type","leaf_area","weight","code"
"Almont","outside",NA,"gervis",1,"t",21.036,0.126,NA
"Almont","outside",NA,"gervis",2,"t",15.045,0.105,NA
"Almont","outside",NA,"gervis",3,"t",14.311,0.094,NA
"Almont","outside",NA,"gervis",4,"t",12.802,0.114,NA
"Almont","outside",NA,"gervis",5,"t",17.092,0.135,NA
"Almont","outside",NA,"poa",1,"t",43.598,0.684,NA
"Almont","outside",NA,"poa",2,"t",55.182,0.9,NA
"Almont","outside",NA,"poa",3,"t",89.513,1.356,NA
"Almont","outside",NA,"poa",4,"t",45.249,0.699,NA
"Almont","outside",NA,"poa",5,"t",55.454,0.926,NA
"Almont","outside",NA,"wyeamp",1,"t",144.698,1.401,NA
"Almont","outside",NA,"wyeamp",2,"t",90.127,0.803,NA
"Almont","outside",NA,"wyeamp",3,"t",57.78,0.542,NA
"Almont","outside",NA,"wyeamp",4,"t",75.204,0.635,NA
"Almont","outside",NA,"wyeamp",5,"t",146.363,1.303,NA
"Almont","ss1",NA,"achmil",1,"p",1.823,0.022,NA
"Almont","ss1",NA,"achmil",3,"t",9.958,0.112,NA
"Almont","ss1",NA,"geutri",1,"ms",5.163,0.054,NA
"Almont","ss1",NA,"geutri",1,"p",3.477,0.036,NA
"Almont","ss1",NA,"poa",2,"t",25.363,0.445,NA
"Almont","ss1",NA,"wyeamp",1,"ms",120.214,1.205,NA
"Almont","ss1",NA,"wyeamp",1,"p",103.495,1.033,NA
"Almont","ss1",NA,"wyeamp",2,"ms",103.817,1.017,NA
"Almont","ss1",NA,"wyeamp",2,"p",63.385,0.576,NA
"Almont","ss2",NA,"arttri",1,"t",15.04,0.172,NA
"Almont","ss2",NA,"chrvis",2,"t",14.524,0.189,NA
"Almont","ss2",NA,"gervis",1,"ms",10.429,0.081,NA
"Almont","ss2",NA,"gervis",1,"p",6.757,0.058,NA
"Almont","ss2",NA,"latleu",2,"t",4.399,0.014,NA
"Almont","ss2",NA,"poa",3,"t",48.135,0.756,NA
"Almont","ss2",NA,"wyeamp",3,"ms",136.657,1.003,NA
"Almont","ss2",NA,"wyeamp",3,"p",97.558,0.777,NA
"Almont","ss2",NA,"wyeamp",4,"p",91.553,0.783,NA
"Almont","ss2",NA,"wyeamp",5,"p",166.196,1.495,NA
"Almont","ss3",NA,"achmil",2,"t",11.107,0.096,NA
"Almont","ss3",NA,"addleu",2,"t",24.788,0.384,NA
"Almont","ss3",NA,"arttri",2,"t",22.16,0.175,NA
"Almont","ss3",NA,"gervis",2,"ms",22.679,0.162,NA
"Almont","ss3",NA,"gervis",2,"p",3.451,0.029,NA
"Almont","ss3",NA,"gervis",4,"ms",22.036,0.129,NA
"Almont","ss3",NA,"gervis",4,"p",3.017,0.023,NA
"Almont","ss3",NA,"poa",1,"t",16.332,0.312,NA
"Almont","ss4",NA,"arttri",4,"t",13.373,0.131,NA
"Almont","ss4",NA,"chrvis",1,"t",9.391,0.099,NA
"Almont","ss4",NA,"eriumb",1,"t",4.764,0.07,NA
"Almont","ss4",NA,"gervis",3,"ms",20.214,0.162,NA
"Almont","ss4",NA,"gervis",3,"p",3.909,0.033,NA
"Almont","ss4",NA,"irmis",1,"ms",23.415,0.225,NA
"Almont","ss4",NA,"latleu",1,"t",6.206,0.041,NA
"Almont","ss5",NA,"achmil",4,"t",5.543,0.063,NA
"Almont","ss5",NA,"addleu",1,"t",26.666,0.507,NA
"Almont","ss5",NA,"latleu",3,"t",4.78,0.071,NA
"Almont","ss5",NA,"poa",4,"t",16.664,0.266,NA
"Almont","ss5",NA,"roswoo",1,"t",11.38,0.11,NA
"Almont","ss5",NA,"wyeamp",4,"ms",143.965,1.282,NA
"Almont","warm16",NA,"wyeamp",2,"ms",172.939,1.614,NA
"Almont","warm16",NA,"wyeamp",2,"p",180.864,1.936,NA
"Almont","warm20",NA,"wyeamp",3,"ms",113.787,0.943,NA
"Almont","warm20",NA,"wyeamp",3,"p",72.739,0.64,NA
"Almont","warm24",NA,"wyeamp",4,"ms",89.207,0.737,NA
"Almont","warm24",NA,"wyeamp",4,"p",102.037,0.839,NA
"Almont","warm28",NA,"wyeamp",5,"ms",185.581,1.672,NA
"Almont","warm28",NA,"wyeamp",5,"p",147.071,1.25,NA
"Almont","warm4",NA,"wyeamp",1,"ms",131.839,1.239,NA
"Almont","warm4",NA,"wyeamp",1,"p",122.349,1.128,NA
"Gothic","ss1",NA,"delphinium",1,"ms",33.269,0.224,NA
"Gothic","ss1",NA,"delphinium",1,"p",3.512,0.027,NA
"Gothic","ss1",NA,"elymus",1,"t",30.157,0.183,NA
"Gothic","ss1",NA,"maple",1,"ms",26.431,0.117,NA
"Gothic","ss1",NA,"maple",1,"p",31.818,0.167,NA
