"","obs","time..2","elapsed","date","hhmmss..5","averaging","id","machine","TIME..9","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd/dt","αVc","Edyn","Hr","Hs","dHs/dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME..59","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time..105","hhmmss..106","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2:MN","ΔCO2:SLP","ΔCO2:SD","ΔCO2:OK","ΔH2O:MN","ΔH2O:SLP","ΔH2O:SD","ΔH2O:OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_%","Flow_%","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccCO2_soda","AccH2O_des","AccH2O_hum","CO2_hrs","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","site"
"1",1,1657480995.5,0,2022-07-10 14:23:15,14:23:15,5,"ligpor.r3","stan",1657480992.75,0.00336505297648873,3.36505297648873,10.7037170481188,405.096982773655,246.206372665563,17.4153432964358,28.6544289937476,0.121725778870141,2.36268884499985,0.118346033623382,0.0742621114457339,321.515388641823,28.8917386857515,27.96725,3.78760055534407,49.9419028470752,1.8565711349612,3.71746174879665,1.93102942038286,-148.398836263153,-40.7823840614943,-3.7552766772776,128.578891639898,10.6540692600506,3.32620892045473,10.7037170481188,429.121395833334,415.998503030303,-0.00458735930738844,64.43,3.36505297648873,22.3608066485988,26.258756969697,0.00781936187030319,78.066086663209,0,0,1,0,37287,1999.994,1681.19513939991,0.840600091500229,0.160758176595441,6,0.5,"0: Broadleaf",2,TRUE,1657480992.75,405.097,419.5003,26.24695,22.35986,407.1571,26.37017,499.9482,70.63489,0.09984813,27.64708,27.96725,999.9,0,0,9998.51,0,1819.999,-14.40326,416.0163,429.0949,3.887085,419.5003,22.35986,1.853948,1.579385,16.24922,13.75914,1999.994,0.9799976,0.02000225,0,2.32813,0,9805.301,16749.39,38.75,40.312,39.0558,38.875,38.0186,1959.989,40.006,0,1657480995.3,0,1657463835.1,09:37:15,1657463822.6,1657463835.1,1,-2.657,-13.192,-3.924,-0.217,376,3,0.48,0.03,-14.3759268292683,0.552848780487806,0.114392490851092,0,3.93284341463415,-0.234316097560976,0.0345775980354514,0,0,2,"0/2",2.97764,2.72463,0.0719723,0.0729263,0.0898368,0.0786251,29257.1,29315.3,29320.9,29258.2,35372.8,35819.7,41311.7,41667.8,1.93307,2.08395,0.0549704,0,27.0862,999.9,39.7,35.2,32.0977,61.5769,27.1875,2,0.179428,1.67202,20.3774,5.22148,12.0099,4.9896,3.2892,9149.9,9999,9999,136.3,1.86737,1.86646,1.86584,1.86582,1.86767,1.87012,1.86874,1.87014,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-2.06,-0.123,-1.69183884242051,-0.00054742946993243,-1.00937323189599e-06,3.2426335113099e-10,-0.257148388066323,-0.0144580598481747,0.00101996165848734,-1.05845521420343e-05,24,2276,1,42,286.2,286,1.30615,2.22046,1.94702,2.80273,2.19482,2.32056,38.9693,13.7993,18,493.182,611.579,24.3857,29.837,29.9996,29.8812,29.8146,26.1511,28.7822,43.148,24.4091,412.99,22.4072,100.284,100.097,"pfeiler"
"2",2,1657481000.5,5,2022-07-10 14:23:20,14:23:20,5,"ligpor.r3","stan",1657480998,0.00335334675313524,3.35334675313525,10.7422282654058,405.048871632965,244.820069593258,17.317048512399,28.6506370642486,0.121021996022924,2.36338772490523,0.117681600312568,0.0738434417957258,321.519932666667,28.9019355648904,27.9926888888889,3.79322257146589,49.9652272919224,1.85817635448156,3.71893906060937,1.93504621698433,-147.882591813264,-43.169603839467,-3.97455740911121,126.493179604824,10.1975356995496,3.34926121207411,10.7422282654058,428.807026266234,415.849836363636,-0.0635762770563476,64.43,3.35334675313525,22.3621594811521,26.2747696969697,0.00150162485080491,78.066086663209,0,0,1,0,37339,2000.02222222222,1681.21886666667,0.840600093332296,0.160758180131332,6,0.5,"0: Broadleaf",2,TRUE,1657480998,405.048888888889,418.917222222222,26.27,22.3555222222222,407.108888888889,26.3928555555556,499.879111111111,70.6340222222222,0.0997560222222222,27.6538777777778,27.9926888888889,999.9,0,0,10003.3333333333,0,1805.07888888889,-13.8684444444444,415.976333333333,428.496555555556,3.91446888888889,418.917222222222,22.3555222222222,1.85555666666667,1.57906,16.2628222222222,13.7559666666667,2000.02222222222,0.979996666666667,0.0200032111111111,0,2.29257777777778,0,9806.07444444444,16749.6444444444,38.75,40.312,39.062,38.8887777777778,38.0413333333333,1960.01555555556,40.0066666666667,0,1657481000.1,0,1657463835.1,09:37:15,1657463822.6,1657463835.1,1,-2.657,-13.192,-3.924,-0.217,376,3,0.48,0.03,-14.3033425,0.283995872420315,0.169340678644412,0,3.9254795,-0.296460562851787,0.0362818615805474,0,0,2,"0/2",2.97803,2.72503,0.0719372,0.0725621,0.0898673,0.0785493,29258.2,29326.7,29321,29258,35371.9,35822.6,41312,41667.7,1.93333,2.0834,0.0555217,0,27.0891,999.9,39.7,35.2,32.1001,61.3769,27.3237,2,0.178913,1.66181,20.3766,5.21624,12.0099,4.9877,3.28845,9149.9,9999,9999,136.3,1.86737,1.86646,1.86585,1.86582,1.86768,1.87012,1.86874,1.87014,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-2.059,-0.1228,-1.69183884242051,-0.00054742946993243,-1.00937323189599e-06,3.2426335113099e-10,-0.257148388066323,-0.0144580598481747,0.00101996165848734,-1.05845521420343e-05,24,2276,1,42,286.3,286.1,1.28296,2.21802,1.94702,2.79907,2.19482,2.33398,38.994,13.7993,18,493.29,611.06,24.4095,29.8293,29.9996,29.8746,29.807,25.6423,28.7822,42.7674,24.4148,399.621,22.4072,100.284,100.097,"pfeiler"
"3",3,1657481005.5,10,2022-07-10 14:23:25,14:23:25,5,"ligpor.r3","stan",1657481002.7,0.00337392499025683,3.37392499025683,10.5760802699795,403.456383046389,246.235567161392,17.4169932452222,28.5377014347199,0.121685689321024,2.36515649921711,0.118311555349117,0.0742400817453125,321.510389273541,28.9064934902401,27.99803,3.7944038859066,49.9222748215739,1.85788283915275,3.72155084237041,1.93652104675385,-148.790092070326,-42.3512767500891,-3.89663641344677,126.472384039679,6.17255558324784,3.39153959164387,10.5760802699795,421.638211158009,412.218690909091,-0.978351168831277,64.43,3.37392499025683,22.3083978731259,26.253273939394,-0.00063382781022341,78.066086663209,0,0,1,0,37372,1999.967,1681.17210179976,0.840599920798574,0.160757847141249,6,0.5,"0: Broadleaf",2,TRUE,1657481002.7,403.4564,412.5047,26.26612,22.30351,405.5143,26.38904,500.0427,70.63299,0.10006228,27.66589,27.99803,999.9,0,0,10015.38,0,1810.261,-9.048582,414.3394,421.915,3.962642,412.5047,22.30351,1.855257,1.575362,16.26027,13.71991,1999.967,0.9800011,0.01999896,0,2.51969,0,9775.992,16749.21,38.7748,40.312,39.062,38.9184,38.062,1959.97,39.994,0,1657481005.5,0,1657463835.1,09:37:15,1657463822.6,1657463835.1,1,-2.657,-13.192,-3.924,-0.217,376,3,0.48,0.03,-13.1341051219512,16.6070126132404,2.20920433414841,0,3.92131414634146,0.124414076655053,0.0298654904020375,0,0,2,"0/2",2.97802,2.72495,0.0713744,0.0711191,0.089813,0.0784722,29275.8,29372.4,29320.7,29258,35373.5,35825.4,41311.5,41667.5,1.93345,2.0836,0.0557825,0,27.0932,999.9,39.6,35.2,32.0178,61.3869,27.1875,2,0.178631,1.6923,20.3762,5.21759,12.0099,4.98865,3.2885,9150.2,9999,9999,136.3,1.86737,1.86645,1.86586,1.86582,1.86766,1.87012,1.86874,1.87014,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-2.055,-0.1232,-1.69183884242051,-0.00054742946993243,-1.00937323189599e-06,3.2426335113099e-10,-0.257148388066323,-0.0144580598481747,0.00101996165848734,-1.05845521420343e-05,24,2276,1,42,286.4,286.2,1.24878,2.21802,1.94702,2.80151,2.19482,2.34497,38.994,13.8081,18,493.31,611.153,24.419,29.8229,29.9999,29.8671,29.8006,24.9944,28.5017,42.7674,24.4161,379.585,22.4277,100.283,100.097,"pfeiler"
"4",4,1657481010.5,15,2022-07-10 14:23:30,14:23:30,5,"ligpor.r3","stan",1657481008,0.00336700431600501,3.36700431600501,10.2734951672861,396.435427916441,242.874588457053,17.1792259613497,28.0410307168268,0.121133316180722,2.36453826746367,0.117788443821113,0.0739106076747201,321.505182666667,28.9256162239722,28.0136111111111,3.79785185530821,49.8434107387566,1.85675770148384,3.72518187251598,1.94109415382436,-148.484890335821,-42.1991319548927,-3.88427799876063,126.936882377192,0.849373125352686,3.35335381543849,10.2734951672861,408.35875267316,403.090048484848,-2.01732329004337,64.43,3.36700431600501,22.3207242796959,26.2580266666667,-0.00066389540819909,78.066086663209,0,0,1,0,37253,1999.93222222222,1681.14306666667,0.840600020334022,0.160758039244663,6,0.5,"0: Broadleaf",2,TRUE,1657481008,396.435444444444,399.05,26.2502666666667,22.3318111111111,398.485333333333,26.3734444444444,499.992,70.6328555555556,0.100052611111111,27.6825777777778,28.0136111111111,999.9,0,0,10011.2388888889,0,1728.65222222222,-2.61461433333333,407.122444444444,408.165111111111,3.91843555555556,399.05,22.3318111111111,1.85413,1.57736,16.2507666666667,13.7393777777778,1999.93222222222,0.979997555555556,0.0200022666666667,0,2.34415555555556,0,9673.67222222222,16748.8666666667,38.812,40.347,39.083,38.937,38.062,1959.93222222222,40,0,1657481010.3,0,1657463835.1,09:37:15,1657463822.6,1657463835.1,1,-2.657,-13.192,-3.924,-0.217,376,3,0.48,0.03,-10.4867265853659,42.9672679442508,4.60225889713058,0,3.9200056097561,0.189655818815338,0.0298168091444244,0,0,2,"0/2",2.97792,2.72475,0.0700905,0.069166,0.0898317,0.0785442,29315.6,29434.1,29320,29258,35371.7,35822.8,41310.3,41667.8,1.93335,2.08358,0.0564009,0,27.1001,999.9,39.5,35.2,31.9449,61.4569,27.2756,2,0.178483,1.7816,20.3753,5.21819,12.0099,4.98885,3.28863,9150.2,9999,9999,136.3,1.86737,1.86646,1.86584,1.8658,1.86766,1.87012,1.86874,1.87014,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-2.044,-0.1231,-1.69183884242051,-0.00054742946993243,-1.00937323189599e-06,3.2426335113099e-10,-0.257148388066323,-0.0144580598481747,0.00101996165848734,-1.05845521420343e-05,24,2276,1,42,286.5,286.3,1.21094,2.2229,1.94702,2.80273,2.19482,2.35229,39.0188,13.7993,18,493.195,611.068,24.421,29.8164,29.9998,29.8607,29.7943,24.183,28.5017,42.3919,24.3125,366.225,22.4255,100.28,100.097,"pfeiler"
"5",5,1657481015.5,20,2022-07-10 14:23:35,14:23:35,5,"ligpor.r3","stan",1657481012.7,0.00336835829017509,3.3683582901751,9.89710474472088,386.047584058807,237.711638239205,16.8135783091142,27.3055258619078,0.120955224395036,2.36239074794846,0.11761709261755,0.0738029272539586,321.5081202,28.93474613364,28.03052,3.80159674335732,49.825266677478,1.85700523001262,3.72703520491547,1.9445915133447,-148.544600596722,-43.2302155114533,-3.98330767499249,125.749996416833,-2.19424869204213,3.36781553796862,9.89710474472088,393.025692954545,390.455763636364,-2.63204086580097,64.43,3.3683582901751,22.3044151568495,26.2468103030303,-0.00149244005844361,78.066086663209,0,0,1,0,37262,1999.947,1681.15578,0.840600165904396,0.160758320195485,6,0.5,"0: Broadleaf",2,TRUE,1657481012.7,386.0476,384.9747,26.25448,22.31933,388.0851,26.37758,500.0158,70.63095,0.10003496,27.69109,28.03052,999.9,0,0,9997.063,0,1626.888,1.07299115,396.4563,393.7632,3.935157,384.9747,22.31933,1.85438,1.576435,16.25287,13.73037,1999.947,0.9799928,0.02000686,0,2.31449,0,9586.519,16748.97,38.812,40.375,39.125,38.937,38.0809,1959.937,40.01,0,1657481015.7,0,1657463835.1,09:37:15,1657463822.6,1657463835.1,1,-2.657,-13.192,-3.924,-0.217,376,3,0.48,0.03,-6.1742201125,60.8137868724202,5.89602232343872,0,3.93359425,0.0249398499061818,0.0242919233375519,1,1,2,"1/2",2.97792,2.72472,0.0683371,0.0670005,0.0898097,0.0786615,29371,29502.4,29320.1,29257.7,35372.4,35817.7,41310.1,41667.2,1.93347,2.0835,0.0562221,0,27.1082,999.9,39.4,35.2,31.8611,61.5569,27.1715,2,0.178989,2.11292,20.3714,5.21864,12.0101,4.98915,3.2886,9150.5,9999,9999,136.3,1.86737,1.86644,1.86584,1.86583,1.86765,1.87012,1.86874,1.87014,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-2.029,-0.1232,-1.69183884242051,-0.00054742946993243,-1.00937323189599e-06,3.2426335113099e-10,-0.257148388066323,-0.0144580598481747,0.00101996165848734,-1.05845521420343e-05,24,2276,1,42,286.5,286.3,1.16943,2.22168,1.94702,2.80029,2.19482,2.34497,39.0436,13.7993,18,493.224,610.941,24.3464,29.81,30.0003,29.8543,29.7879,23.4083,28.2301,42.3919,24.2817,346.191,22.4281,100.28,100.096,"pfeiler"
"6",6,1657481020.5,25,2022-07-10 14:23:40,14:23:40,5,"ligpor.r3","stan",1657481018,0.00335302695756374,3.35302695756375,9.53837364987377,371.763540191118,228.455833278483,16.1585490276235,26.294620297738,0.12058126036588,2.36285606403854,0.117264067231279,0.0735804776092741,321.509131,28.9376459462947,28.0211111111111,3.79951251683853,49.8563206590519,1.85797310976189,3.72665508645905,1.94153940707663,-147.868488828561,-42.2625268442204,-3.89315970459571,127.484955622623,-4.24091171577481,3.29420407808747,9.53837364987377,376.751213636364,375.852,-2.97057333333334,64.43,3.35302695756375,22.4141522448455,26.2878927272727,0.010021188412787,78.066086663209,0,0,1,0,37247,1999.95333333333,1681.1611,0.840600164003827,0.160758316527386,6,0.5,"0: Broadleaf",2,TRUE,1657481018,371.763555555556,368.144,26.2687444444444,22.4194777777778,373.783777777778,26.3916,499.991777777778,70.6294444444445,0.0999775,27.6893444444444,28.0211111111111,999.9,0,0,10000.4055555556,0,1568.65333333333,3.61948111111111,381.792666666667,376.586666666667,3.84925777777778,368.144,22.4194777777778,1.85534888888889,1.58347333333333,16.2610444444444,13.7989333333333,1999.95333333333,0.979993333333333,0.0200063444444444,0,2.40986666666667,0,9523.06,16749.0444444444,38.868,40.375,39.125,38.965,38.125,1959.94333333333,40.01,0,1657481019.9,0,1657463835.1,09:37:15,1657463822.6,1657463835.1,1,-2.657,-13.192,-3.924,-0.217,376,3,0.48,0.03,-2.6608873625,53.7086458818011,5.27287544413411,0,3.921486,-0.337015834896831,0.0425575002085414,0,0,2,"0/2",2.97794,2.7247,0.066298,0.0647378,0.0899078,0.0787367,29435.2,29574.3,29320,29258,35368.2,35815.1,41309.8,41667.7,1.93342,2.08358,0.0555962,0,27.1156,999.9,39.3,35.3,31.9551,61.5069,27.2756,2,0.178844,2.03731,20.3723,5.21774,12.0099,4.9889,3.2886,9150.5,9999,9999,136.3,1.86737,1.86644,1.86585,1.86583,1.86762,1.87012,1.86874,1.87013,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-2.013,-0.1225,-1.69183884242051,-0.00054742946993243,-1.00937323189599e-06,3.2426335113099e-10,-0.257148388066323,-0.0144580598481747,0.00101996165848734,-1.05845521420343e-05,24,2276,1,42,286.6,286.4,1.12915,2.22412,1.94702,2.80273,2.19482,2.34985,39.0436,13.7993,18,493.141,610.948,24.2813,29.8044,30.0001,29.8479,29.7828,22.5304,28.2301,42.0119,24.2601,332.831,22.4213,100.279,100.097,"pfeiler"
"7",7,1657481025.5,30,2022-07-10 14:23:45,14:23:45,5,"ligpor.r3","stan",1657481022.7,0.00334322833091701,3.34322833091701,9.08100285099049,357.890885384404,220.846017848827,15.6200383536534,25.3129733131706,0.120147799539763,2.36282497616271,0.116854019764732,0.0733221742426812,321.5148234,28.940764053828,28.03307,3.80216178284781,49.9000957452232,1.85959962693575,3.72664540851861,1.94256215591206,-147.43636939344,-43.791010856894,-4.03425412975296,126.253189019913,-5.30511716070099,3.34812242641821,9.08100285099049,360.211798268398,360.401521212121,-3.11546251082255,64.43,3.34322833091701,22.3847976616242,26.2870551515152,0.00097401486512281,78.066086663209,0,0,1,0,37278,1999.989,1681.19106,0.840600153300843,0.160758295870627,6,0.5,"0: Broadleaf",2,TRUE,1657481022.7,357.8909,352.9625,26.2922,22.37995,359.8955,26.41468,499.9823,70.62824,0.09994657,27.6893,28.03307,999.9,0,0,10000.367,0,1559.076,4.928379,367.5547,361.0428,3.912276,352.9625,22.37995,1.856973,1.580655,16.27479,13.77149,1999.989,0.979994,0.0200057,0,2.39892,0,9482.848,16749.33,38.875,40.375,39.125,39,38.125,1959.979,40.01,0,1657481025.3,0,1657463835.1,09:37:15,1657463822.6,1657463835.1,1,-2.657,-13.192,-3.924,-0.217,376,3,0.48,0.03,1.19173818292683,33.8785493414634,3.4592769170947,0,3.90825146341463,-0.174883275261322,0.0377051997812151,0,0,2,"0/2",2.97798,2.72477,0.0641166,0.0623918,0.0898972,0.0786454,29504.3,29648.8,29320.2,29258.3,35369.1,35818.9,41310.4,41667.9,1.93358,2.08335,0.0561588,0,27.1202,999.9,39.2,35.3,31.8731,61.4569,27.1795,2,0.178646,1.97926,20.3729,5.21714,12.0099,4.98845,3.28845,9150.5,9999,9999,136.3,1.86738,1.86645,1.86587,1.86583,1.86765,1.87011,1.86874,1.87017,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-1.994,-0.1225,-1.69183884242051,-0.00054742946993243,-1.00937323189599e-06,3.2426335113099e-10,-0.257148388066323,-0.0144580598481747,0.00101996165848734,-1.05845521420343e-05,24,2276,1,42,286.7,286.5,1.08765,2.22412,1.94702,2.80151,2.19482,2.34497,39.0683,13.7993,18,493.191,610.702,24.2487,29.7986,29.9999,29.842,29.7765,21.7141,28.2301,42.0119,24.2268,319.474,22.4213,100.281,100.098,"pfeiler"
"8",8,1657481030.5,35,2022-07-10 14:23:50,14:23:50,5,"ligpor.r3","stan",1657481028,0.00334407889191784,3.34407889191785,8.72825277102166,341.62831925576,209.885190177099,14.8447906002932,24.1627380102554,0.120030074690058,2.36235476950186,0.116742016342158,0.073251676814284,321.509485666667,28.943925106345,28.0408666666667,3.8038898548367,49.8741846552811,1.85898639719198,3.72735195580812,1.94490345764473,-147.473879133577,-44.3620640631256,-4.08790101239916,125.585641457565,-6.17007422024306,3.35274004760752,8.72825277102166,343.440297424242,344.421915151515,-3.21410043290045,64.43,3.34407889191785,22.3716992940753,26.2796151515151,-0.0001179910283111,78.066086663209,0,0,1,0,37211,1999.95555555556,1681.16296666667,0.840600163336963,0.160758315240339,6,0.5,"0: Broadleaf",2,TRUE,1657481028,341.628333333333,335.598777777778,26.2835444444444,22.3660444444444,343.614444444444,26.4061555555556,500.005333333333,70.6281,0.100047077777778,27.6925444444444,28.0408666666667,999.9,0,0,9997.22444444444,0,1532.20222222222,6.02963666666667,350.85,343.276777777778,3.91750111111111,335.598777777778,22.3660444444444,1.85635666666667,1.57967222222222,16.2696,13.7619222222222,1999.95555555556,0.979994,0.0200057,0,2.40943333333333,0,9400.57777777778,16749.0555555556,38.875,40.375,39.1594444444444,39,38.125,1959.94555555556,40.01,0,1657481030.1,0,1657463835.1,09:37:15,1657463822.6,1657463835.1,1,-2.657,-13.192,-3.924,-0.217,376,3,0.48,0.03,3.8925386125,19.3179973902439,1.90801024447112,0,3.90469725,0.00801984990618159,0.0348981607672596,1,1,2,"1/2",2.97782,2.72467,0.0618241,0.0599778,0.089879,0.0785809,29576.3,29724.9,29320,29258.1,35369.7,35820.9,41310.3,41667.4,1.9336,2.08315,0.055667,0,27.126,999.9,39.1,35.3,31.7908,61.5269,27.3037,2,0.178046,2.00471,20.3726,5.21744,12.0099,4.98865,3.28848,9150.7,9999,9999,136.3,1.86739,1.86645,1.86586,1.86584,1.86767,1.87012,1.86874,1.87017,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-1.977,-0.1227,-1.69183884242051,-0.00054742946993243,-1.00937323189599e-06,3.2426335113099e-10,-0.257148388066323,-0.0144580598481747,0.00101996165848734,-1.05845521420343e-05,24,2276,1,42,286.8,286.6,1.04248,2.229,1.94702,2.80151,2.19482,2.35474,39.0931,13.7993,18,493.162,610.489,24.2206,29.7933,29.9999,29.8363,29.7713,20.8111,28.2301,41.6411,24.1862,299.438,22.4213,100.28,100.097,"pfeiler"
"9",9,1657481035.5,40,2022-07-10 14:23:55,14:23:55,5,"ligpor.r3","stan",1657481032.7,0.00333882201622816,3.33882201622816,8.10664572433238,326.965586964858,203.94274147309,14.424791127565,23.1261493486008,0.119774873575074,2.36269825556071,0.116501038771598,0.0730998368325655,321.5131257,28.9474748070673,28.0395,3.80358689402476,49.832669241196,1.85765881707693,3.72779312319323,1.94592807694783,-147.242050915662,-43.9364205368712,-4.04810324754126,126.286550999926,-6.78150374263496,3.37781709126286,8.10664572433238,326.634449220779,328.390909090909,-3.21713645021652,64.43,3.33882201622816,22.3210813172867,26.2478406060606,-0.00569305033060687,78.066086663209,0,0,1,0,37317,1999.978,1681.18185,0.840600171601888,0.160758331191643,6,0.5,"0: Broadleaf",2,TRUE,1657481032.7,326.9656,320.1527,26.26423,22.31707,328.9351,26.38719,499.9698,70.6297,0.09991275,27.69457,28.0395,999.9,0,0,9999.308,0,1450.984,6.812762,335.7847,327.4609,3.947173,320.1527,22.31707,1.855036,1.576245,16.25841,13.72853,1999.978,0.9799943,0.0200054,0,2.3658,0,9304.456,16749.24,38.906,40.4184,39.187,39.0186,38.156,1959.967,40.011,0,1657481034.9,0,1657463835.1,09:37:15,1657463822.6,1657463835.1,1,-2.657,-13.192,-3.924,-0.217,376,3,0.48,0.03,5.07736325,13.9256378611632,1.35645118264423,0,3.9054605,0.31305028142587,0.0355365726365107,0,0,2,"0/2",2.97803,2.72491,0.0594745,0.0574995,0.0898059,0.0785157,29650.7,29803.5,29320.2,29258.3,35372.7,35823.9,41310.5,41668,1.9338,2.08293,0.0550076,0,27.1329,999.9,39.1,35.3,31.7934,61.5069,27.2236,2,0.178095,2.04867,20.3721,5.21639,12.0099,4.98765,3.28848,9150.7,9999,9999,136.3,1.86737,1.86642,1.86585,1.86584,1.86765,1.87012,1.86874,1.87013,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-1.96,-0.1233,-1.69183884242051,-0.00054742946993243,-1.00937323189599e-06,3.2426335113099e-10,-0.257148388066323,-0.0144580598481747,0.00101996165848734,-1.05845521420343e-05,24,2276,1,42,286.9,286.7,1.00098,2.229,1.94702,2.80029,2.19482,2.3584,39.118,13.7993,18,493.245,610.244,24.1841,29.7884,29.9999,29.8307,29.765,19.9768,27.9286,41.6411,24.1468,286.081,22.4491,100.281,100.098,"pfeiler"
"10",10,1657481040.5,45,2022-07-10 14:24:00,14:24:00,5,"ligpor.r3","stan",1657481038,0.00333741252553479,3.3374125255348,7.70234997254077,310.226432053464,193.431604501098,13.6817613507403,21.9428671906769,0.119846880290098,2.36402122383867,0.116570946252462,0.073143712538145,321.525574333333,28.9448347854819,28.0240777777778,3.80016957556906,49.7981307765932,1.85609616958874,3.72724064265715,1.94407340598032,-147.179892376084,-42.3187696618912,-3.89652919642848,128.130383098929,-7.36801827825121,3.32907644894952,7.70234997254077,309.707114199134,312.08366060606,-3.25125316017322,64.43,3.3374125255348,22.3369987114684,26.2442521212121,-0.00179270044442839,78.066086663209,0,0,1,0,37267,2000.05555555556,1681.24703333333,0.840600166662037,0.160758321657732,6,0.5,"0: Broadleaf",2,TRUE,1657481038,310.226444444444,302.625,26.2413333333333,22.3517111111111,312.177666666667,26.3646333333333,500.056333333333,70.6316333333333,0.100144888888889,27.6920333333333,28.0240777777778,999.9,0,0,10007.9333333333,0,1378.20777777778,7.60130555555556,318.586222222222,309.543777777778,3.88960222222222,302.625,22.3517111111111,1.85346666666667,1.57873888888889,16.2451333333333,13.7528111111111,2000.05555555556,0.979995,0.0200047,0,2.39515555555556,0,9222.81555555556,16749.8888888889,38.937,40.437,39.187,39.0344444444444,38.187,1960.04333333333,40.0122222222222,0,1657481040.3,0,1657463835.1,09:37:15,1657463822.6,1657463835.1,1,-2.657,-13.192,-3.924,-0.217,376,3,0.48,0.03,6.330247,10.4785296810506,1.01267928123419,0,3.91812075,-0.0351547091932557,0.0230616807049595,1,1,2,"1/2",2.97813,2.72487,0.0570492,0.0549761,0.0898099,0.0786209,29727.1,29882.8,29320.1,29257.8,35372.6,35819.3,41310.7,41667.5,1.93403,2.08275,0.0546686,0,27.1386,999.9,39,35.3,31.7104,61.2769,27.2476,2,0.178059,2.06965,20.3719,5.21729,12.0099,4.98835,3.28845,9151,9999,9999,136.3,1.86737,1.86644,1.86586,1.86584,1.86768,1.87012,1.86874,1.87017,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-1.943,-0.1232,-1.69183884242051,-0.00054742946993243,-1.00937323189599e-06,3.2426335113099e-10,-0.257148388066323,-0.0144580598481747,0.00101996165848734,-1.05845521420343e-05,24,2276,1,42,287,286.8,0.955811,2.23022,1.94702,2.80029,2.19482,2.34619,39.118,13.7906,18,493.343,610.051,24.1444,29.7832,29.9999,29.8249,29.7599,19.0573,27.9286,41.2708,24.122,266.044,22.4518,100.281,100.096,"pfeiler"
